교원번호,이름,학과,이메일,연구실전화번호,생년월일,연구실
A001,전유진,컴퓨터공학과,jeonyoujin@sqool.ac.kr,065-728-0000,1975-12-25,정보관 502호
A002,일호준,전자공학과,illhojun@sqool.ac.kr,065-728-0001,1972-05-02,정보관 503호
A003,삼호준,기계공학과,samjun@sqool.ac.kr,065-728-0002,1988-10-22,정보관 504호
A004,사호준,자동차공학과,sahojun@sqool.ac.kr,065-728-0003,1989-03-01,정보관 505호
A005,한재현,로봇공학과,ohojun@sqool.ac.kr,065-728-0004,1978-04-05,정보관 506호
A006,일태진,경영정보학과,illteajin@sqool.ac.kr,065-728-0005,1987-06-04,사랑관 605호
A007,김태진,의예과,kimtaejin@sqool.ac.kr,065-728-0006,1986-08-21,사랑관 606호
A008,임시연,치의학과,imsiyeon83@sqool.ac.kr,065-728-0007,1983-10-20,사랑관 605호
A009,정재인,수의예과,jungjaein@sqool.ac.kr,065-728-0008,1978-11-30,사랑관 606호
A010,강혜진,약학과,hyejinkang80@sqool.ac.kr,065-728-0009,1980-01-16,평화관 607호
A011,강진,물리치료학과,kangjin@sqool.ac.kr,065-728-0010,1977-07-13,평화관 608호
A012,최원범,방사선학과,wonbeom78@sqool.ac.kr,065-728-0011,1986-12-15,평화관 609호
A013,김유진,간호학과,yujinkim@sqool.ac.kr,065-728-0012,1979-07-31,평화관 610호
A014,김진,수학과,kimjin80@sqool.ac.kr,065-728-0013,1980-10-29,진리관 201호
A015,김혜원,생물학화학융합학과,hyewonkim@sqool.ac.kr,065-728-0014,1979-09-12,진리관 202호
A016,김영웅,물리학과,herokim@sqool.ac.kr,065-728-0015,1971-05-09,진리관 203호
A017,장희승,통계학과,jangheeseung@sqool.ac.kr,065-728-0016,1978-02-25,진리관 204호
A018,조용훈,식품영양학과,joyonghoon@sqool.ac.kr,065-728-0017,1984-05-15,진리관 205호
A019,이종찬,생명공학과,leejc12@sqool.ac.kr,065-728-0018,1975-12-05,진리관 206호
A020,둘재현,화학과,h2hyun@sqool.ac.kr,065-728-0019,1983-01-25,진리관 207호
