학번,이름,학과,지도교수,학년,생년월일,연락처,주소,마일리지
201900001,이재영,치의학과,임시연,4,1993-07-07,011-1234-5678,서울특별시 성북구,120
202100002,서동현,컴퓨터공학과,전유진,2,1995-04-09,011-1212-4121,서울특별시 동대문구,200
202000003,김세원,컴퓨터공학과,전유진,3,1994-03-25,011-9999-9999,서울특별시 부끄북구,202
201900004,신윤철,수학과,김진,4,1993-12-25,011-1111-2222,경기도 성남시 수정구,31
202200005,최유정,약학과,정재인,1,1996-12-15,011-5554-6777,서울특별시 호그와트구,56
202100006,이지형,전자공학과,일호준,2,1995-03-29,011-4522-9098,경기도 수원시 초록구,102
201900007,이시현,전자공학과,일호준,4,1993-12-04,011-7979-8282,인천광역시 남동구,156
201900008,손수철,기계공학과,삼호준,4,1993-07-13,011- 7879-5923,서울특별시 강남구,166
202200009,김대엽,수학과,김진,1,1996-07-14,011-8282-7979,충청남도 천안시 호두구,205
202000010,김도영,수학과,김진,3,1994-12-18,011-6395-0397,인천광역시 연수구,140
202000011,박시우,전자공학과,일호준,3,1994-12-19,011-5416-2481,서울특별시 강남구,145
202000012,최수진,치의학과,임시연,3,1994-12-20,011-2219-4173,대구광역시 막창구,244
202000013,김창현,컴퓨터공학과,전유진,3,1994-12-21,011-9944-7614,서울특별시 노원구,32
202100014,장희수,수학과,김진,2,1995-03-03,011-6317-2417,서울특별시 자두구,106
202100015,이준근,생명공학과,이종찬,2,1995-11-30,011-2482-8140,제주특별자치도 제주시 이쁘구,30
201900016,허재원,전자공학과,일호준,4,1993-09-23,011-2306-9980,제주특별자치도 제주시 귤많구,92
202000017,김혜빈,화학과,둘재현,3,1994-08-04,011-4039-3099,경기도 화성시 동탄구,22
202100018,이윤석,기계공학과,삼호준,2,1995-08-03,011-3441-1247,서울특별시 강북구,15
202100019,한유진,수학과,김진,2,1995-04-29,011-2345-6778,서울특별시 뭉구,43
201900020,왕유린,수의예과,임시연,4,1993-12-24,011-4709-1524,서울특별시 강남구,50
202200021,이경린,의예과,김태진,1,1996-01-30,011-4541-7165,강원도 춘천시 닭갈비구,22
202100022,이광렬,치의학과,임시연,2,1995-05-05,011-1470-2238,서울특별시 동작구,143
202000023,서현주,컴퓨터공학과,전유진,3,1994-10-18,011-2468-0864,경기도 용인시 처인구,150
201900024,지창언,수학과,김진,4,1993-12-10,011-4392-1154,강원도 강릉시 바다구,616
202200025,우승미,컴퓨터공학과,전유진,1,1996-12-19,011-1357-2468,서울특별시 도봉구,93
201900026,은혜연,간호학과,김유진,4,1993-05-05,011-3547-8654,충청남도 천안시 호두구,30
202200027,추경훈,방사선학과,최원범,1,1996-12-20,011-7260-5830,경기도 군포시 군밤구,88
202000028,이준엽,물리치료학과,강진,3,1994-10-20,011-3210-1470,서울특별시 강남구,72
202100029,임종서,통계학과,김혜원,2,1995-10-30,011-3116-5411,충청북도 청주시 상당구,117
202200030,이유진,의예과,김태진,1,1996-09-20,011-2235-5234,서울특별시 강남구,22
202000031,김설하,수학과,김진,3,1994-02-17,011-7370-5665,충청북도 청주시 흥덕구,110
202200032,정수현,기계공학과,삼호준,1,1996-11-07,011-3948-5843,경기도 군포시 군밤구,90
202100033,이윤구,약학과,강혜진,2,1995-05-05,011-4235-3451,강원도 강릉시 이윤구,355
202000034,최영준,수학과,임시연,3,1994-04-27,011-0427-1204,경기도 화성시 밤바다구,73
202200035,방선아,약학과,강혜진,1,1996-03-21,011-0321-0321,서울특별시 광진구,300
